Turnir,od,do,EventID,Organizator(i),Direktor turnira,Glavni sudac,Zamjenik glavnog suca,Sudac,Lokacija,Tempo igre,FED,State,Zadnja izmjena,ekipe,n,Rd,Rd-Akt,DB-Key,System
Otvoreno juniorsko prvenstvo PGŽ do 19 god za 2025. god,20250530,20250601,0,Šahovski savez Primorsko-goranske županije,FA Ivan Mandekić,"Nenad Jurman, DS",,,,60 min + 30 sec dodatka,CRO,,01.06.2025  15:36,0,11,6,6,1185804,Schweizer System
Otvoreno kadetsko prvenstvo Dubrovnika 2025,20250516,20250518,416269,Šahovski klub Dubrovnik,Ivana Perak (79306187),KS Leonardo Jerković (334033448),KS Ivan Potrebica (14596024),,"Studentski Centar Dubrovnik (Mala dvorana), Marka Marojice 2B, Dubrovnik",30 minuta + 30 sekundi,CRO,,18.05.2025  22:10,0,37,7,7,1126447,Schweizer System
Pojedinačno kadetsko prvenstvo Kc-Kž županije za 2025 - kadeti do 13 godina,20250510,20250511,0,Šahovski savez Koprivničko-križevačke županije,Nikola Mihočka,"Borislav Vidović, DS","Goran Martić, ŽS","Petrica Koštić, ŽS","Društveni dom Drenovica, Trg Vladimira Jagarinca 2, Novo Virje",30 min. + 30 sek.,CRO,,10.05.2025  18:30,0,11,5,5,1155933,Schweizer System
Pojedinačno kadetsko prvenstvo Kc-Kž županije za 2025 - kadetkinje do 13 godina,20250510,20250511,0,Šahovski savez Koprivničko-križevačke županije,Nikola Mihočka,"Borislav Vidović, DS","Goran Martić, ŽS","Petrica Koštić, ŽS","Društveni dom Drenovica, Trg Vladimira Jagarinca 2, Novo Virje",30 min. + 30 sek.,CRO,,10.05.2025  18:42,0,8,5,5,1155934,Schweizer System
Pojedinačno prvenstvo PGŽ do 11 god. - 10.-11.05.2025,20250510,20250511,0,"Šahovski savez Primorsko-goranske županije, Šahovski klub Rijeka",Bojan Birk,"IA Birk, Bojan 14527677","NA Pijanovic, Dusan 14514117",,"Rijeka, Šahovski dom, Blaža Polića 2/2",30 min + 30 sec/potez,CRO,,11.05.2025  13:49,0,11,6,6,1174526,Schweizer System
Pojedinačno prvenstvo PGŽ do 15 god. - 10.-11.05.2025,20250510,20250511,0,"Šahovski savez Primorsko-goranske županije, Šahovski klub Rijeka",Bojan Birk,"IA Birk, Bojan 14527677","NA Pijanovic, Dusan 14514117",,"Rijeka, Šahovski dom, Blaža Polića 2/2",60 min + 30 sec/potez,CRO,,11.05.2025  17:23,0,14,6,6,1174527,Schweizer System
“VRSAR OPEN 2025”,20250428,20250504,0,"ŠK Sane Chess, Zagreb","Brednev, Aleksandr (AUT) [1688103]","IA Dorić, Nenad (CRO) [14501694]",,,"Vrsar (CRO), Sportska dvorana Saline",90 minutes with 30 second increment from move 1,CRO,,04.05.2025  13:00,0,35,9,9,1120168,Schweizer System
1. seniorski rejting turnir ŠK Višnjevac,20250426,20250504,0,"Šahovski klub Višnjevac, Osijek",Davor Kršćanski,IA Zdravko Birovljević (14520028),NA (ŽS) Nenad Mrkonjić (145501333),,Višnjevac_Mjesni odbor_Josipa Jurja Strossmayera 2.,30 minuta fiksnog vremena po igraču + 30 sekundi dodatka za svaki završeni potez,CRO,,04.05.2025  11:58,0,33,6,6,1144002,Schweizer System
Otvoreno pojedinačno prvenstvo Šk Crikvenica-2025,20250425,20250427,0,Šk Crikvenica,Nenad Jurman,"Nikola Sundać, KS",,,Crikvenica,60+30,CRO,,27.04.2025  15:37,0,16,5,5,1158618,Schweizer System
Pojedinačno prvenstvo PGŽ do 13 god. - 26.-27.04.2025,20250426,20250427,0,"Šahovski savez Primorsko-goranske županije, Šahovski klub Rijeka",Bojan Birk,"IA Birk, Bojan 14527677","NA Pijanovic, Dusan 14514117",,"Rijeka, Šahovski dom, Blaža Polića 2/2",30 min + 30 sec/potez,CRO,,27.04.2025  14:14,0,14,6,6,1165931,Schweizer System
Pojedinačno prvenstvo PGŽ do 7 i do 9  god. - 26..04.2025,20250426,20250426,0,"Šahovski savez Primorsko-goranske županije, Šahovski klub Rijeka",Bojan Birk,"IA Birk, Bojan 14527677","NA Pijanovic, Dusan 14514117",,"Rijeka, Šahovski dom, Blaža Polića 2/2",30 min + 30 sec/potez,CRO,,26.04.2025  22:58,0,11,6,6,1165929,Schweizer System
Juniorsko prvenstvo zupanije Splitsko-dalmatinske za 2025. godinu,20250417,20250421,0,Šahovski savez Splitsko-dalmatinske županije,Božo Mišković [14512742],NA Ivo Ivanković [14504138],NA Mateo Petričević [14553295],,"Šimićeva 52-54, Split (prostorije ŠK Mornar i ŠK Brda)",60 minuta za cijelu partiju s dodatkom 30 sekundi po potezu počevši od prvog poteza,CRO,,21.04.2025  19:17,0,17,7,7,1135359,Schweizer System
3.Memorijalni turnir Josip Kučibradić,20250405,20250405,0,ŠRUS,Franjo Matanović,Petar Lovrić,,,Slavonski Brod,30 min,CRO,,05.04.2025  13:57,0,18,5,5,1151732,Schweizer System
Prvenstvo Šibenika 2025. B-Turnir,20250304,20250401,0,"ŠK""Šibenik""",Miro Tesla,"Stipe Lacmanović, FA",,"Josip Morić, DS",Šibenik,90 min. plus 30 sec. za svaki potez,CRO,,02.04.2025  15:35,0,23,9,9,1131162,Schweizer System
Pojedinačno prvenstvo Zagreba 2025. za kadete do 13 godina,20250316,20250330,0,Zagrebački šahovski savez,Krešimir Podravec,Josip Bandur IA 14534002,,,"OŠ Ivana Mažuranića, Javorinska ul. 5, 10040 Zagreb",30 minuta + 30 sekundi,CRO,,30.03.2025  14:45,0,24,9,9,1138438,Schweizer System
Pojedinačno prvenstvo Zagreba 2025. za kadete do 9 godina,20250316,20250330,0,Zagrebački šahovski savez,Krešimir Podravec,Josip bandur IA,,,"OŠ Ivana Mažuranića, Javorinska ul. 5, 10040 Zagreb",30 minuta + 30 sekundi,CRO,,30.03.2025  12:32,0,24,9,9,1138446,Schweizer System
Pojedinačno prvenstvo Zagreba 2025. za kadete i kadetkinje do 11 godina,20250316,20250330,0,Zagrebački šahovski savez,Krešimir Podravec,Josip Bandur IA 14534002,,,"OŠ Ivana Mažuranića, Javorinska ul. 5, 10040 Zagreb",30 minuta + 30 sekundi,CRO,,30.03.2025  14:50,0,31,9,9,1139111,Schweizer System
Pojedinačno prvenstvo Zagreba 2025. za kadete i kadetkinje do 15 godina,20250316,20250330,0,Zagrebački šahovski savez,Krešimir Podravec,Josip Bandur IA 14534002,,,"OŠ Ivana Mažuranića, Javorinska ul. 5, 10040 Zagreb",30 minuta + 30 sekundi,CRO,,30.03.2025  15:42,0,31,9,9,1139072,Schweizer System
34. Pojedinačno prvenstvo Hrvatske za slijepe i slabovidne osobe - 2025,20250313,20250319,0,Hrvatski športski savez slijepih,Viliam Jelušić,Damir Mihalinec DS [14504260],,,"Zagreb, Hotel Novi Zagreb, Ive Robića 2",120 min po igraču za prvih 40 poteza + 30 min do kraja partije,CRO,,19.03.2025  10:15,0,12,7,7,1130147,Schweizer System
63. prvenstvo Dubrovnika za 2025. godinu - polufinale,20250314,20250316,415232,Šahovski klub Dubrovnik,Vlaho Zlošilo,KS Leonardo Jerković (334033448),,,"Liechtensteinov put 12, Dubrovnik",60 minuta + 30 sekundi,CRO,,17.03.2025  00:06,0,15,5,5,1125564,Schweizer System
Open Sesvete 2025.,20250223,20250301,0,ŠK Sesvete-Agroproteinka u suradnji sa Sane Chess,Vlatko Lovrinić,"Vlado Karagić, FA",,,"Sesvete, Kelekova 2","90'+30"" - standard",CRO,,01.03.2025  19:16,0,77,7,7,1050796,Schweizer System
Otvoreno prvenstvo Primorsko-Goranska županijeA Turnir (igrači do 2400),20250222,20250226,0,Šahovski Savez PGŽ,Sundać Nikola,"Jurman Nenad, DS (14533421)","Pijanović Dušan, DS (14514117)",,"„Šahovski dom“, Blaža Polića 2/2, Rijeka",60 minuta + 30 sec,CRO,,26.02.2025  20:36,0,21,7,7,1120515,Schweizer System
Otvoreno prvenstvo Primorsko-Goranske županijeB turnir (igrači do 1800),20250222,20250224,0,Šahovski Savez PGŽ,Sundać Nikola,"Jurman Nenad, DS (14533421)","Pijanović Dušan, DS (14514117)",,"„Šahovski dom“, Blaža Polića 2/2, Rijeka",30 min + 30 sec,CRO,,26.02.2025  18:58,0,17,7,7,1120513,Schweizer System
Pojedinačno prvenstvo ŠK Petar Sedlar Pepe 2025.,20250209,20250223,0,ŠK Petar Sedlar Pepe,Ivica Brkić 14505835,Ivo Ivanković 14504138,,,Kaštel Novi,90 minutes for game with 30 seconds increment from move 1,CRO,,23.02.2025  19:31,0,12,7,7,1108558,Schweizer System
"11. Memorijal ""Nereo Butković""",20250120,20250217,0,ŠK.Pula,Valter Valković,Kristian Valković IA,Mile Ostojić NA,,Pula,90 minuta + 30 sekundi po odigranom potezu,CRO,,18.02.2025  00:00,0,16,9,9,1103754,Schweizer System
New Zagreb Classic 2025 - Open A,20250131,20250202,0,"ŠK Novi Zagreb, https://www.sknovizagreb.hr/","Andrej Stanković, FI [CRO][14513501]","Krunoslav Lešić, IA, IO [CRO][14505258]","Slobodan Barkidžija, NA [CRO][79304389]","Matija Čubrilo, NA [CRO][14597063], Matej Levačić, NA [CRO[14539071], Mladen Nagl, NA [CRO][14506726]. Prijenos: Pavo Matanović, NA [CRO][14532930]","Zagreb, Miramarska cesta 24, Maistra City Vibes Hotel International","90'+30""",CRO,,05.02.2025  14:25,0,49,5,5,1027038,Schweizer System
New Zagreb Classic 2025 - Open B,20250131,20250202,0,"ŠK Novi Zagreb, https://www.sknovizagreb.hr/","Andrej Stanković, FI [CRO][14513501]","Krunoslav Lešić, IA, IO [CRO][14505258]","Slobodan Barkidžija, NA [CRO][79304389]","Matija Čubrilo, NA [CRO][14597063], Matej Levačić, NA [CRO[14539071], Mladen Nagl, NA [CRO][14506726]. Prijenos: Pavo Matanović, NA [CRO][14532930]","Zagreb, Miramarska cesta 24, Maistra City Vibes Hotel International","90'+30""",CRO,,05.02.2025  14:25,0,61,5,5,1027039,Schweizer System
New Zagreb Classic 2025 - Open C,20250131,20250202,0,"ŠK Novi Zagreb, https://www.sknovizagreb.hr/","Andrej Stanković, FI [CRO][14513501]","Krunoslav Lešić, IA, IO [CRO][14505258]","Slobodan Barkidžija, NA [CRO][79304389]","Matija Čubrilo, NA [CRO][14597063], Matej Levačić, NA [CRO[14539071], Mladen Nagl, NA [CRO][14506726]. Prijenos: Pavo Matanović, NA [CRO][14532930]","Zagreb, Miramarska cesta 24, Maistra City Vibes Hotel International","90'+30""",CRO,,05.02.2025  14:25,0,73,5,5,1027040,Schweizer System
New Zagreb Classic 2025 - Open D,20250201,20250202,0,"ŠK Novi Zagreb, https://www.sknovizagreb.hr/","Andrej Stanković, FI [CRO][14513501]","Krunoslav Lešić, IA, IO [CRO][14505258]","Robert Kupek, NA [CRO][14548313]","Marija Bilješko, NA [CRO[[14561484]","Zagreb, Miramarska cesta 24, Maistra City Vibes Hotel International","30'+30""",CRO,,05.02.2025  14:25,0,91,6,6,1027041,Schweizer System
New Zagreb Classic 2025 - Početnici,20250201,20250202,0,"ŠK Novi Zagreb, https://www.sknovizagreb.hr/","Andrej Stanković, FI [CRO][14513501]","Krunoslav Lešić, IA, IO [CRO][14505258]","Robert Kupek, NA [CRO][14548313]","Marija Bilješko, NA [CRO[[14561484]","Zagreb, Miramarska cesta 24, Maistra City Vibes Hotel International","30'+30""",CRO,,05.02.2025  14:24,0,20,6,6,1031424,Schweizer System
"Pojedinačno kadetsko i juniorsko prvenstvo ŠZŽI za 2025. U12 - KADETI  Gundinci, 1. i 2. veljače 2025.",20250201,20250202,0,"Šahovski klub ""Gundinci""","Ivan Đančević, povjerenik ŠZŽI",Ivan Đančević,,"Mirko Matić, Đuro Kokanović","Gundinci, Ulica Stjepana Radića 2",30 minuta + 30 sekundi,CRO,,19.02.2025  17:28,0,36,8,8,1099806,Schweizer System
"Pojedinačno kadetsko i juniorsko prvenstvo ŠZŽI za 2025. U12 - KADETKINJE   Gundinci, 1. i 2. veljače 2025.",20250201,20250202,0,"Šahovski klub ""Gundinci""","Ivan Đančević, povjerenik ŠZŽI",Ivan Đančević,,"Mirko Matić, Đuro Kokanović","Gundinci, Ulica Stjepana Radića 2",30 minuta + 30 sekundi,CRO,,19.02.2025  17:28,0,21,8,8,1099801,Schweizer System
"Pojedinačno kadetsko i juniorsko prvenstvo ŠZŽI za 2025. U16 - KADETI  Gundinci, 1. i 2. veljače 2025.",20250201,20250202,0,"Šahovski klub ""Gundinci""","Ivan Đančević, povjerenik ŠZŽI",Ivan Đančević,,"Mirko Matić, Đuro Kokanović","Gundinci, Ulica Stjepana Radića 2",60 minuta + 30 sekundi,CRO,,19.02.2025  17:32,0,41,6,6,1099830,Schweizer System
"Pojedinačno kadetsko i juniorsko prvenstvo ŠZŽI za 2025. U16 - KADETKINJE  Gundinci, 1. i 2. veljače 2025.",20250201,20250202,0,"Šahovski klub ""Gundinci""","Ivan Đančević, povjerenik ŠZŽI",Ivan Đančević,,"Mirko Matić, Ivan Đančević","Gundinci, Ulica Stjepana Radića 2",30 minuta + 30 sekundi,CRO,,19.02.2025  17:28,0,17,8,8,1099824,Schweizer System
"Pojedinačno kadetsko i juniorsko prvenstvo ŠZŽI za 2025. U20 - JUNIORKE I JUNIORI   Gundinci, 1. i 2. veljače 2025.",20250201,20250202,0,"Šahovski klub ""Gundinci""","Ivan Đančević, povjerenik ŠZŽI",Ivan Đančević,,"Mirko Matić, Đuro Kokanović","Gundinci, Ulica Stjepana Radića 2",60 minuta + 30 sekundi,CRO,,19.02.2025  17:28,0,22,6,6,1099835,Schweizer System
13. open KrapinaOtvoreno prvenstvo grada Krapine 17.-19.1.2025.,20250117,20250119,401534,Šahovski klub Krapina,Mirjana Medić,Mirjana Medić IA (14501619),Radmila Švaljek IA (14501759),,"Vatrogasni dom, Zagrebačka 1, Krapina",60' + 30'',CRO,,19.01.2025  17:02,0,63,7,7,1068971,Schweizer System
Standard Zima 2025 U1800 Dubrovnik,20250110,20250112,404475,Šahovski klub Dubrovnik,Vlaho Zlošilo (79306012),KS Leonardo Jerković (NA) (334033448),KS Ivan Potrebica (NA) (14596024),,"Dubrovnik, Liechtensteinov put 12",30 minuta za cijelu partiju s dodatkom 30 sekunda po završenom potezu,CRO,,14.01.2025  09:03,0,26,7,7,1088595,Schweizer System
"MEĐUNARODNI OTVORENI ŠAHOVSKI TURNIR ""29th Open BOŠNJACI"", 03-09.01.2025",20250103,20250109,0,Chess club Bosnjaci Bošnjaci,Luka Golubičić,"Branko Vidačković, IA 14509229","Babic, Andrija, IA 14507390, Ivica Leaković, IA 14504707","Adam Ilišević,KS CRO [14509954],","Kino dvorana dom kulture, Bošnjaci",90 minutes with 30 seconds cumulative increment for each move starting from first move,CRO,,09.01.2025  14:18,0,125,9,9,989322,Schweizer System
15. TOP 10 KADETA ŠK RIJEKA,20250104,20250106,0,Chess Club Rijeka,"Zelenika, Srdjan 14501350","IA Birk, Bojan 14527677","NA Pijanovic, Dusan 14514117",,"Rijeka, Šahovski dom, Blaža Polića 2/2",60 min + 30 sec,CRO,,06.01.2025  14:20,0,10,6,6,1093002,Schweizer System
Pojedinačno seniorsko prvenstvo Kc-Kž županije za 2025- muškarci,20250104,20250106,0,"Šahovski savez Koprivničko-križevačke županije, Ante Starčevića 15, Koprivnica",Nikola Mihočka,"Borislav Vidović, DS",,"Petrica Koštić, ŽS","Sveti Ivan Žabno, prostorija kina, Trg K. Lukaša 1",90. min. plus 30. sec.,CRO,,06.01.2025  17:38,0,22,6,6,1083573,Schweizer System
16. juniorsko prvenstvo Osječko-baranjske županije,20250103,20250105,0,"ŠS OBŽ, ŠK Đurđenovac",Vladimir Ivčević,IA Zdravko Birovljević (14516667),NA (DS) Renato Vince (14518600),"NA (DS) Adam Tomaić (14518546), NA (KS) Slavko Vulić (14513757)","Đurđenovac, restoran ""Zrinski""",30 minuta fiksnog vremena+dodatak od 30 sekundi za svaki potez,CRO,,05.01.2025  16:52,0,13,9,9,1083489,Schweizer System
26. kadetsko prvenstvo Osječko-baranjske županije_ turnir do 11 godina,20250103,20250105,0,"ŠS OBŽ, ŠK Đurđenovac",Vladimir Ivčević,IA Zdravko Birovljević (14520028),NA (DS) Renato Vince (14518600),"NA (DS) Adam Tomaić (14518546), NA (KS) Slavko Vulić (14513757)","Đurđenovac, restoran ""Zrinski""",30 minuta fiksnog vremena+dodatak od 30 sekundi za svaki potez,CRO,,05.01.2025  16:51,0,30,9,9,1088391,Schweizer System
26. kadetsko prvenstvo Osječko-baranjske županije_turnir do 15 godina,20250103,20250105,0,"ŠS OBŽ, ŠK Đurđenovac",Vladimir Ivčević,IA Zdravko Birovljević (14520028),NA (DS) Renato Vince (14518600),"NA (DS) Adam Tomaić (14518546), NA (KS) Slavko Vulić (14513757)","Đurđenovac, restoran ""Zrinski""",30 minuta fiksnog vremena+dodatak od 30 sekundi za svaki potez,CRO,,05.01.2025  16:51,0,29,9,9,1083490,Schweizer System
Početak nove godine Dubrovnik U12,20250104,20250105,0,Šahovski klub Dubrovnik,Ivana Perak (79306187),KS Leonardo Jerković (334033448),,,"Dubrovnik, Liechtensteinov put 12",30 minuta za cijelu partiju s dodatkom 30 sekunda po završenom potezu,CRO,,09.01.2025  20:22,0,13,6,6,1088575,Schweizer System
"Biosamdobiven 2024 - A turnir, Županja, 21.-22.12.2024.",20241221,20241222,0,ŠK Šahovski centar,"Krunoslav Lešić, IO [CRO][14505258]","Krunoslav Lešić, IA  [CRO][14505258]","Ivan Dujić, NA [CRO][14574829]","Borna Stjepić, NA [CRO][14580810]","Županja, MKC, Bana Josipa Jelačića 4","60'+30""",CRO,,22.12.2024  18:13,0,8,6,6,1075823,Schweizer System
"Biosamdobiven 2024 - B turnir, Županja, 21.-22.12.2024.",20241221,20241222,0,ŠK Šahovski centar,"Krunoslav Lešić, IO, [CRO][14505258]","Krunoslav Lešić, IA, [CRO][14505258]","Ivan Dujić, NA [CRO][14574829]","Borna Stjepić, NA [CRO][14580810]","Županja, MKC, Bana Josipa Jelačića 4","60'+30""",CRO,,22.12.2024  18:17,0,20,6,6,1075832,Schweizer System
"Biosamdobiven 2024 - C turnir, Županja, 21.-22.12.2024.",20241221,20241222,0,ŠK Šahovski centar,"Krunoslav Lešić, IO [CRO][14505258]","Krunoslav Lešić, IA [CRO][14505258]","Ivan Dujić, NA [CRO][14574829]","Borna Stjepić, NA [CRO][14580810]","Županja, MKC, Bana Josipa Jelačića 4","60'+30""",CRO,,22.12.2024  18:02,0,22,6,6,1070616,Schweizer System
"Biosamdobiven 2024 - D turnir, Županja, 21.-22.12.2024.",20241221,20241222,0,ŠK Šahovski centar,"Krunoslav Lešić, IO [CRO][14505258]","Krunoslav Lešić, IA [CRO][14505258]","Ivan Dujić, NA [CRO][14574829]","Borna Stjepić, NA [CRO][14580810]","Županja, MKC, Bana Josipa Jelačića 4","60'+30""",CRO,,22.12.2024  15:28,0,8,6,6,1076922,Schweizer System
27.Božićni rejting turnir za Cro i  Fide listu Šahovski klub Ruščica 2024.,20241108,20241216,0,Šahovski klub Ruščica,MK Mato Opačak,"Mato Opačak, NA",,"Antun Rakić, CA",Trg dr. Franje Tuđmana 35208 Ruščica,60 minuta + dodatak 30 sekundi za svaki odigrani potez,CRO,,17.12.2024  05:34,0,17,7,7,1002800,Schweizer System
"Prvenstvo grada Vinkovaca, 07.12.-15.12.2024.",20241207,20241215,0,ŠK Vinkovci,Dražen Petrović [CRO][14504030],"Krunoslav Lešić, IA, IO [CRO][14505258]",,,"Vinkovci, Dom hrvatskih branitelja, Gundulićeva 6","I.-III. kolo: 15'+5"", IV.-IX. kolo: 60'+30""",CRO,,15.12.2024  11:35,0,16,9,9,1076321,Schweizer System
Prvenstvo Osijeka 2024,20241213,20241215,0,Osječki šahovski savez,Zvonko Horvat,Renato Vince,Nenad Mrkonjić,,Osijek,30 minuta fiksnog vremena + dodatak od 30 sekundi za svaki završeni potez,CRO,,15.12.2024  13:32,0,36,7,7,1075628,Schweizer System
ZIMA U SISKU,20241214,20241215,0,ŠAHOVSKO DRUŠTVO SISAK,MILAN BRIGLJEVIĆ,KLARA KRMPOTIĆ,MILAN BRIGLJEVIĆ,,SISAK,30+30,CRO,,16.12.2024  23:24,0,14,7,7,1080753,Schweizer System
ŠK Križevci - Božićni rejting turnir za kadete,20241213,20241214,0,Šahovski klub Križevci,Antonio Radić,"Borislav Vidović, DS",,,"Križevci, prostorija Kluba, Potočka 26",30. min. plus 30. sec.,CRO,,14.12.2024  13:03,0,14,7,7,1069637,Schweizer System
"2. OTVORENI MEĐUNARODNI ŠAHOVSKI TURNIR DUBROVNIK ADVENT 2024Dubrovnik, Valamar Lacroma Dubrovnik Hotel, 5.12-8.12.2024.",20241205,20241208,397114,"ŠK Dubrovnik, Dubrovnik",Vlaho Zlošilo (79306012),"IA Sulejman Islamović (CRO, 14516659)","FA Željko Matkun (CRO, 14510839)","NA (KS) Ivan Potrebica (CRO, 14596024)","Dubrovnik, Valamar Lacroma Dubrovnik Hotel, Iva Dulčića 34",60 minuta za cijelu partiju s dodatkom 30 sekundi po potezu počevši od prvog poteza (Fischer),CRO,,31.12.2024  10:22,0,98,7,7,991529,Schweizer System
Otvoreni vikend turnir za nacionalni rejting <2100 - Branimirac subota 7.12. od 15-21h i nedjelja 8.12. od 10 do 16:30h,20241207,20241208,0,"ŠK Aer, Partneri za šah",Dejan Glišić (WhatsApp 091-6030-341),"Dejan Glišić, KS",,,"Zagreb, Kneza Branimira 67/1.kat, mjesni odbor u zgradi tržnice","30'+30""",CRO,,08.12.2024  18:38,0,13,6,6,1059124,Schweizer System
Sesvete 2024. - VII. otvoreni kadetski i juniorski šahovski turnir - kadeti do 13,20241207,20241208,0,ŠK Sesvete Agroproteinka,Radoslav Dumančić,"Damir Obad, ŽS",,"Klara Krmpotić, KS","Gimnazija Sesvete, Bistrička 7, Sesvete","30'+30"" - standard",CRO,,08.12.2024  15:59,0,21,6,6,1053794,Schweizer System
Sesvete 2024. - VII. otvoreni kadetski i juniorski šahovski turnir- kadeti do 11,20241207,20241208,0,ŠK Sesvete Agroproteinka,Radoslav Dumančić,"Vlado Karagić, FA",,"Robert Kupek, KS",,"30'+30"" - standard",CRO,,08.12.2024  15:08,0,12,6,6,1053796,Schweizer System
Sesvete 2024. - VII. otvoreni kadetski i juniorski šahovski turnir- kadeti do 9,20241207,20241208,0,ŠK Sesvete Agroproteinka,Radoslav Dumančić,"Vlado Karagić, FA",,"Robert Kupek, KS","Gimnazija Sesvete, Bistrička 7, Sesvete","30'+30"" - standard",CRO,,08.12.2024  15:12,0,21,6,6,1053809,Schweizer System
"24. Memorijal ""Milan Kuzmanović""",20241104,20241202,0,ŠK.Pula,Valter Valković,Kristian Valković IA,Mile Ostojić NA,Valter Valković NA,Pula,90 min + 30 sec/move,CRO,,06.12.2024  21:59,0,19,9,9,1053613,Schweizer System
"20. kadetski šahovski turnir ""Iovallium"" _ otvoreno prvenstvo grada Valpova",20241129,20241201,0,"ŠK Hrvatska čitaonica, ŠS OBŽ",,IA Zdravko Birovljević (14520028),NA (državni sudac) Renato Vince (14518600),NA (klupski sudac) Andrej Meško (14510353),Valpovo _ hotel Villa Valpovo,30 minuta fiksnog vremena + dodatak od 30 sekundi za svaki potez,CRO,,01.12.2024  13:47,0,127,7,7,1024853,Schweizer System
"26. ženski šahovski turnir ""Čarobni prsten"" _ otvoreno prvenstvo OBŽ",20241129,20241201,0,"ŠS Osječko - baranjske županije, ŠK Hrvatska čitaonica",Renato Vince,IA Zdravko Birovljević (14520028),NA (državni sudac) Renato Vince (14518500),NA (klupski sudac) Andrej Meško (14510353),Valpovo _hotel Villa Valpovo,30 minuta fiksnog vremena + dodatak od 30 sekundi za svaki potez,CRO,,01.12.2024  13:22,0,20,7,7,1024852,Schweizer System
"VIII. Otvoreno prvenstvo zapadne Hrvatske za mlade do 16 godina - Kastav, 30/11-01/12/2024",20241130,20241201,0,ŠS Istarske županije i ŠS Primorsko-goranske županije,"Purić, Bojan","IA Piacun, Eduard 14508877","NA Res, Dalibor 14510928","NA Podobnik, Eugen 14532638","Kastav, Gradska vijećnica, Zakona kastafskega 3",30 min + 30 sek dodatka,CRO,,01.12.2024  16:26,0,18,6,6,1061141,Schweizer System
Seniorsko prvenstvo županije splitsko-dalmatinske 2024,20241114,20241129,0,Šahovski savez županije splitsko-dalmatinske,Božo Mišković 14512742,Ivo Ivanković 14504138,Božo Mišković 14512742,,"Split, Hotel Corner",60 minutes with 30 second increment from move 1,CRO,,29.11.2024  18:23,0,25,9,9,1036768,Schweizer System
Seniorsko prvenstvo Zagreba 2024.,20241111,20241126,0,Zagrebački šahovski savez,Krešimir Podravec,Vid Brzica,,,"Zagreb, Masarykova 22/3",90 minuta + 30 sekundi,CRO,,26.11.2024  21:45,0,14,9,9,1049592,Schweizer System
Kadetsko prvenstvo grada Osijeka U-12 za 2024.,20241112,20241117,0,"ŠK ""VIŠNJEVAC""",Davor Krščanski,Renato Vince (14518600),,Davor Krščanski,Višnjevac,30 minuta fiksnog vremena + dodatak od 30 sekundi za svaki završeni potez,CRO,,17.11.2024  11:41,0,27,7,7,1048339,Schweizer System
Kadetsko prvenstvo grada Osijeka U-16 za 2024.,20241112,20241117,0,"ŠK ""VIŠNJEVAC""",Davor Krščanski,Renato Vince (14518600),,Davor Krščanski,Višnjevac,30 minuta fiksnog vremena + dodatak od 30 sekundi za svaki završeni potez,CRO,,17.11.2024  11:41,0,12,7,7,1048340,Schweizer System
VIKEND OPEN TURNIR SK RIJEKA,20241116,20241117,0,ŠK Rijeka,Srdjan Zelenika,"IA Birk, Bojan 14527677","NA Pijanovic, Dusan 14514117",,"Šahovski dom, Blaža Polića 2/2 Rijeka",60 minuta +30 sekundi po igraču,CRO,,17.11.2024  19:25,0,46,5,5,1055815,Schweizer System
Otvoreni vikend turnir ŠK AER za nacionalni rejting <2000,20241109,20241110,0,ŠK Aer,Dejan Glišić,"Dejan Glišić, KS",,,"Zagreb, Kneza Branimira 67/1.kat, mjesni odbor u zgradi tržnice","30'+30""",CRO,,11.11.2024  20:43,0,15,6,6,1031376,Schweizer System
"OTVORENI MEĐUNARODNI ŠAHOVSKI TURNIR 3. OPEN HVAR 2024.ARSENAL HVAR, 14.-20.10.2024.",20241014,20241020,354859,Šahovski klub Hvar i Šahovski savez Županije Splitsko-dalmatinske,"Ivica Bilandžić (CRO, 14597500); Božo Mišković (CRO, 14512742)","IA, IO Sulejman Islamović (CRO, 14516659)","IA Nenad Dorić (CRO, 14501694)","NA (KS) Pavle Palić (CRO, 14515237; NA (KS) Neno Simunić (CRO, 14515709)","HVAR, ARSENAL HVAR",90min + 30sec/move from move 1,CRO,,22.10.2024  16:19,0,138,9,9,837584,Schweizer System
Otvoreni vikend turnir ŠK AER  za nacionalni rejting <1900 - subota / nedjelja 12/13.10.2024.  Branimirac,20241012,20241013,0,ŠK Aer,Dejan Glišić (WhatsApp 091-6030-341),"Dejan Glišić, KS",,,"Zagreb, Kneza Branimira 67/1.kat, mjesni odbor u zgradi tržnice","30'+30""",CRO,,13.10.2024  20:05,0,14,6,6,1025403,Schweizer System
Prvenstvo ŠK Hrvatska čitaonica za 2024.,20240914,20240929,0,"ŠK Hrvatska čitaonica, Valpovo",,IA Zdravko Birovljević (14520028),,,Valpovo_prostorija ŠK Hrvatska čitaonica,1 sat fiksnog vremena + dodatak od 30 sekundi za svaki potez,CRO,,29.09.2024  13:17,0,11,6,6,1005563,Schweizer System
Otvoreni jesenski turnir 2024.,20240910,20240920,0,Zagrebački šahovski savez,Krešimir Podravec,Vid Brzica,,,"Zagrebački šahovski savez, Masarykova22/3, Zagreb",90 minuta + 30 sekundi,CRO,,20.09.2024  21:51,0,20,6,6,995492,Schweizer System
