title,url,channel,duration,thumbnail,videoId,duration_time,Music
"Let's build GPT: from scratch, in code, spelled out.",https://www.youtube.com/watch?v=kCc8FmEb1nY&list=LL&index=531&t=1057s&pp=gAQBiAQB,Andrej Karpathy,1:56:20,,kCc8FmEb1nY,1:56:20,FALSE
"Ibiza Classics live @ The O2 Arena London (Pete tong, Heritage Orchestra, Wiley, Becky Hill, AU/RA)",https://www.youtube.com/watch?v=OKz9LRNgKjs&list=LL&index=660&t=767s&pp=gAQBiAQB,UNLIMITED LIVE,1:50:36,,OKz9LRNgKjs,1:50:36,TRUE
Thievery Corporation • Massive Attack • Dub Garden •Special Coffeeshop Selection [Seven Beats Music],https://www.youtube.com/watch?v=FRTjOnUpm8c&list=LL&index=332&t=2843s&pp=gAQBiAQB,Seven Beats Music,1:45:35,,FRTjOnUpm8c,1:45:35,TRUE
THIEVERY CORPORATION Style • Creative Work Music • Special Coffeeshop Selection [Seven Beats Music],https://www.youtube.com/watch?v=rHdzAQzPNGY&list=LL&index=339&t=1419s&pp=gAQBiAQB,Seven Beats Music,1:43:48,,rHdzAQzPNGY,1:43:48,TRUE
4K Video Nature Sounds for Relaxation & Meditation - DISCOVERY PARK - Seattle (PART 2 - 1.5 HOURS),https://www.youtube.com/watch?v=18HRGOFNHLo&list=LL&index=1712&pp=gAQBiAQB,4K Relaxation Channel,1:35:20,,18HRGOFNHLo,1:35:20,FALSE
A Hackers' Guide to Language Models,https://www.youtube.com/watch?v=jkrNMKz9pWU&list=LL&index=383&pp=gAQBiAQB,Jeremy Howard,1:31:13,,jkrNMKz9pWU,1:31:13,FALSE
Afro Celt Sound System - Live,https://www.youtube.com/watch?v=2Wmf1xmkuxo&list=LL&index=1144&pp=gAQBiAQB,EarthRitual,1:25:20,,2Wmf1xmkuxo,1:25:20,TRUE
Psychedelic Trance 2017/2018 mix Part VI [ Psy-Fi cartoons & Old Russian cartoons],https://www.youtube.com/watch?v=z6ygIrYhqd4&list=LL&index=1373&pp=gAQBiAQB,DJ Electric Samurai,1:24:43,,z6ygIrYhqd4,1:24:43,TRUE
Startups VS Covid19 - 1.Prilagođavanje promjenama radnih uvjeta,https://www.youtube.com/watch?v=3hLnTg53-6U&list=LL&index=1005&pp=gAQBiAQB,Smion,1:22:48,,3hLnTg53-6U,1:22:48,FALSE
"E994: All Turtles CEO Phil Libin & Future of Early-Stage VC w/Pete Flint, Rebecca Lynn & Dave Samuel",https://www.youtube.com/watch?v=UjyhDOb_j1I&list=LL&index=1137&pp=gAQBiAQB,This Week in Startups,1:22:17,,UjyhDOb_j1I,1:22:17,FALSE
Future Underground - Progressive and Intelligent Trance Mix (Animated Cyberpunk Visuals),https://www.youtube.com/watch?v=ZK3U92URi_c&list=LL&index=1369&t=1543s&pp=gAQBiAQB0gcJCSkKAYcqIYzv,DALZIEL,1:21:28,,ZK3U92URi_c,1:21:28,TRUE
"Bill Hicks, ""Sane Man"" (1989)",https://www.youtube.com/watch?v=_anFg-ulelo&list=LL&index=440&t=3207s&pp=gAQBiAQB,celestialroad,1:20:18,,_anFg-ulelo,1:20:18,FALSE
Carbon Based Lifeforms - World Of Sleepers [Full Album],https://www.youtube.com/watch?v=KQE29az48gM&list=LL&index=1411&pp=gAQBiAQB,The Psychedelic Muse,1:18:40,,KQE29az48gM,1:18:40,TRUE
Congo to Cuba (Official Putumayo Version),https://www.youtube.com/watch?v=amfAAzhjC0E&list=LL&index=397&t=20s&pp=gAQBiAQB,Putumayo World Music,1:17:37,,amfAAzhjC0E,1:17:37,TRUE
Techno! The New Dance Sound Of Detroit (Full Album),https://www.youtube.com/watch?v=i3u7NUBfhk4&list=LL&index=511&pp=gAQBiAQB0gcJCSkKAYcqIYzv,somefim,1:17:01,,i3u7NUBfhk4,1:17:01,TRUE
Monty Python's Flying Circus Live At The Hollywood Bowl Full,https://www.youtube.com/watch?v=5UF_NzsCayY&list=LL&index=538&pp=gAQBiAQB,Mijo Stipic,1:16:57,,5UF_NzsCayY,1:16:57,FALSE
Future Underground Part II: 1 Hr Progressive Mix: Anime Sci-Fi GIF visuals (インテリジェントなとプログレッシブ),https://www.youtube.com/watch?v=6YQlO9RNs-w&list=LL&index=1368&t=817s&pp=gAQBiAQB,DALZIEL,1:13:21,,6YQlO9RNs-w,1:13:21,TRUE
The Sun in 4K: THERMONUCLEAR ART RELAXATION + Connect.Ohm [9980] | NASA Video,https://www.youtube.com/watch?v=PLbPTI-kh9E&list=LL&index=1704&t=986s&pp=gAQBiAQB,Nature Relaxation Films,1:13:17,,PLbPTI-kh9E,1:13:17,TRUE
"Geoffrey Hinton talk ""What is wrong with convolutional neural nets ?""",https://www.youtube.com/watch?v=rTawFwUvnLE&list=LL&index=1632&pp=gAQBiAQB,trwappers,1:11:36,,rTawFwUvnLE,1:11:36,FALSE
DISTORTION 3 || Aggressive Dark Synth Mix || Dark Synthwave,https://www.youtube.com/watch?v=dza_frgrujw&list=LL&index=1421&pp=gAQBiAQB,Shen - Shma,1:11:32,,dza_frgrujw,1:11:32,TRUE
Psihomodo Pop 1995 Unpljugd FLAC,https://www.youtube.com/watch?v=4YuNogHnO7M&list=LL&index=912&t=1192s&pp=gAQBiAQB,Philip J. Fry,1:11:27,,4YuNogHnO7M,1:11:27,TRUE
Psybient Greatest Anthems All Time Mix (+ Animated 16Bit Sci-Fi Visuals),https://www.youtube.com/watch?v=eqzxBHSKVsQ&list=LL&index=1605&pp=gAQBiAQB,DALZIEL,1:10:44,,eqzxBHSKVsQ,1:10:44,TRUE
Trancemaster Vol.5 - The Hardtrance Experience,https://www.youtube.com/watch?v=4kF_vIq5IqE&list=LL&index=1130&t=3712s&pp=gAQBiAQB,Trance Master,1:09:04,,4kF_vIq5IqE,1:09:04,TRUE
Best of The Tonight Show with Johnny Carson,https://www.youtube.com/watch?v=doeCTtBE-Kk&list=LL&index=1150&pp=gAQBiAQB,Kane Alson,1:06:22,,doeCTtBE-Kk,1:06:22,FALSE
I Was SCARED To Say This To NASA... (But I said it anyway) - Smarter Every Day 293,https://www.youtube.com/watch?v=OoJsPvmFixU&list=LL&index=366&t=1s&pp=gAQBiAQB,SmarterEveryDay,1:05:20,,OoJsPvmFixU,1:05:20,FALSE
Coccolino Deep - Before Sunrise,https://www.youtube.com/watch?v=Glg4SiSX_xk&list=LL&index=993&pp=gAQBiAQB,Coccolino Deep,1:05:14,,Glg4SiSX_xk,1:05:14,TRUE
Flash FM - GTA Vice City Stories,https://www.youtube.com/watch?v=lcktJMlVx1I&list=LL&index=597&t=1049s&pp=gAQBiAQB,VasilyX,1:04:50,,lcktJMlVx1I,1:04:50,TRUE
Chris Isaac Wicked Game Chillion Remix (1hour),https://www.youtube.com/watch?v=Ka_uOIf_v5g&list=LL&index=1222&t=179s&pp=gAQBiAQB,HORSE POWER MUSIC,1:04:02,,Ka_uOIf_v5g,1:04:02,TRUE
RARE FUNK (70's) - Compilation,https://www.youtube.com/watch?v=5OQl4WTkWTc&list=LL&index=1694&pp=gAQBiAQB,Matteo Siroli - [Music Channel],1:02:07,,5OQl4WTkWTc,1:02:07,TRUE
"Ancient Civilizations Music & World Music | Roman Music, Norse Music, Mesopotamian Music",https://www.youtube.com/watch?v=TpA17Oy0nK8&list=LL&index=1468&t=2931s&pp=gAQBiAQB,Fantasy & World Music by the Fiechters,1:01:56,,TpA17Oy0nK8,1:01:56,TRUE
John Carpenter Movie Theme Mix with Alan Howarth,https://www.youtube.com/watch?v=If33r0xGyrk&list=LL&index=1064&pp=gAQBiAQB0gcJCSkKAYcqIYzv,Richard Seabrook,1:01:47,,If33r0xGyrk,1:01:47,TRUE
A Possible Future of Software Development,https://www.youtube.com/watch?v=4moyKUHApq4&list=LL&index=1761&pp=gAQBiAQB,Google TechTalks,1:01:33,,4moyKUHApq4,1:01:33,FALSE
Incredible Dub Session - Dub Individual Mixtape,https://www.youtube.com/watch?v=XXHJOvXnwJw&list=LL&index=322&t=1488s&pp=gAQBiAQB,Stark Wicked,1:00:43,,XXHJOvXnwJw,1:00:43,TRUE
Psychedelic Trance mix November 2017 [video game : Cuphead / Trippy Cartoon],https://www.youtube.com/watch?v=geajCOmYRcw&list=LL&index=1374&t=277s&pp=gAQBiAQB,DJ Electric Samurai,1:00:14,,geajCOmYRcw,1:00:14,TRUE
"Endless Looping 4K Scene: Moraine Lake, Banff Alberta (Fixed Version - No Watermark)",https://www.youtube.com/watch?v=pmVu7kOkqS8&list=LL&index=1706&pp=gAQBiAQB,Nature Relaxation Films,1:00:10,,pmVu7kOkqS8,1:00:10,FALSE
4K High Mountains - Beautiful Nature Video & Relaxing Natural Sounds - Ultra HD - 2160p,https://www.youtube.com/watch?v=VtvBpcyQP9M&list=LL&index=1709&pp=gAQBiAQB,TheSilentWatcher,1:00:08,,VtvBpcyQP9M,1:00:08,FALSE
Summer Chill Mix 'Tropical & Deep House Mix,https://www.youtube.com/watch?v=-fjmSE9Ez6w&list=LL&index=1163&pp=gAQBiAQB,Indefinitely Music,1:00:00,,-fjmSE9Ez6w,1:00:00,TRUE
An Hour of Melodic Psychedelic Trance Music Vol. I,https://www.youtube.com/watch?v=5df8tw-cw3Q&list=LL&index=1695&pp=gAQBiAQB,Trance Summon,00:59:59,,5df8tw-cw3Q,0:59:59,TRUE
DANCE WITH THE DEAD - Out Of Body [FULL ALBUM],https://www.youtube.com/watch?v=c5_4pcUxu9E&list=LL&index=1386&t=1672s&pp=gAQBiAQB,Scaran100,00:58:46,,c5_4pcUxu9E,0:58:46,TRUE
Dub Pure and Clean Selection #1 (Instrumental/Psy-Dub),https://www.youtube.com/watch?v=PlXP2Zze380&list=LL&index=815&pp=gAQBiAQB,dubabylon,00:58:37,,PlXP2Zze380,0:58:37,TRUE
Mapping memory in the brain. Eric Kandel (2008),https://www.youtube.com/watch?v=_eJzO5t9xis&list=LL&index=1394&pp=gAQBiAQB0gcJCSkKAYcqIYzv,"George Kalarritis, Clinical Psychologist",00:58:27,,_eJzO5t9xis,0:58:27,FALSE
Aligning LLMs with Direct Preference Optimization,https://www.youtube.com/watch?v=QXVCqtAZAn4&list=LL&index=238&t=3303s&pp=gAQBiAQB0gcJCSkKAYcqIYzv,DeepLearningAI,00:58:07,,QXVCqtAZAn4,0:58:07,FALSE
An Observation on Generalization,https://www.youtube.com/watch?v=AKMuA_TVz3A&list=LL&index=417&t=71s&pp=gAQBiAQB,Simons Institute for the Theory of Computing,00:57:21,,AKMuA_TVz3A,0:57:21,FALSE
"Yann LeCun ""Mathematical Obstacles on the Way to Human-Level AI""",https://www.youtube.com/watch?v=ETZfkkv6V7Y&list=LL&index=97&t=282s&pp=gAQBiAQB0gcJCSkKAYcqIYzv,Joint Mathematics Meetings,00:56:23,,ETZfkkv6V7Y,0:56:23,FALSE
Antifragille: Things That Gain from Disorder | Nassim Nicholas Taleb | Talks at Google,https://www.youtube.com/watch?v=S3REdLZ8Xis&list=LL&index=1666&pp=gAQBiAQB,Talks at Google,00:55:40,,S3REdLZ8Xis,0:55:40,FALSE
Founders@Google Presents: The Cultural Anthropology of Stack Exchange,https://www.youtube.com/watch?v=LpGA2fmAHvM&list=LL&index=996&pp=gAQBiAQB,Google TechTalks,00:55:39,,LpGA2fmAHvM,0:55:39,FALSE
Prince Jazz Funk Sessions 1977 Instrumental,https://www.youtube.com/watch?v=cOc2MzvqbN0&list=LL&index=290&t=448s&pp=gAQBiAQB0gcJCSkKAYcqIYzv,Christian Manuel Küppers,00:55:30,,cOc2MzvqbN0,0:55:30,TRUE
How the Lockheed SR-71 Blackbird Works,https://www.youtube.com/watch?v=gkyVZxtsubM&list=LL&index=345&t=115s&pp=gAQBiAQB,Animagraffs,00:55:30,,gkyVZxtsubM,0:55:30,FALSE
Deep Dub For Dark Alleys 008: Reggae Edition [Reggae / Dubstep Mix],https://www.youtube.com/watch?v=yJ5vzOjGD0Q&list=LL&index=769&t=1845s&pp=gAQBiAQB0gcJCSkKAYcqIYzv,Kevin White,00:55:16,,yJ5vzOjGD0Q,0:55:16,TRUE
Sammy's Super T Shirt (Full Movie),https://www.youtube.com/watch?v=Qv3WgtZR2ys&list=LL&index=1731&pp=gAQBiAQB,Seppe’s Channel,00:55:00,,Qv3WgtZR2ys,0:55:00,FALSE
GK Samobor - Primjena Lean Startup pristupa,https://www.youtube.com/watch?v=raSrp-oWOHo&list=LL&index=1355&pp=gAQBiAQB,TestDome Product Talks,00:54:35,,raSrp-oWOHo,0:54:35,FALSE
The Physics of Magnetic Monopoles - with Felix Flicker,https://www.youtube.com/watch?v=S3xH97Su-KY&list=LL&index=937&pp=gAQBiAQB,The Royal Institution,00:53:47,,S3xH97Su-KY,0:53:47,FALSE
What Bodies Think About: Bioelectric Computation Outside the Nervous System - NeurIPS 2018,https://www.youtube.com/watch?v=RjD1aLm4Thg&list=LL&index=1470&pp=gAQBiAQB,The Artificial Intelligence Channel,00:52:07,,RjD1aLm4Thg,0:52:07,FALSE
Dino Dvornik & Song Killers ‎-- Live In München 1995,https://www.youtube.com/watch?v=c4jg_dd_S_E&list=LL&index=399&pp=gAQBiAQB,thesalezo,00:51:34,,c4jg_dd_S_E,0:51:34,TRUE
Radiolab Live: Apocalyptical — Dinopocalypse!,https://www.youtube.com/watch?v=ZYoqtBEzuiQ&list=LL&index=1280&pp=gAQBiAQB,Radiolab,00:51:13,,ZYoqtBEzuiQ,0:51:13,FALSE
Mortimerian Tales - Bob Mortimer on Would I Lie to You? - Part 1,https://www.youtube.com/watch?v=1vE8ExuuNZQ&list=LL&index=645&pp=gAQBiAQB,WILTY? Nope!,00:50:37,,1vE8ExuuNZQ,0:50:37,FALSE
Bootstrapping vs Venture Capital,https://www.youtube.com/watch?v=CZ8nZymQLW4&list=LL&index=371&t=1s&pp=gAQBiAQB0gcJCSkKAYcqIYzv,TestDome Product Talks,00:50:30,,CZ8nZymQLW4,0:50:30,FALSE
The V̲e̲lvet Unde̲rgro̲und & N̲ico (Full Album 1967),https://www.youtube.com/watch?v=Yjgj2YCRBh4&list=LL&index=462&t=2747s&pp=gAQBiAQB,MUSIC OFFICAL no2,00:50:01,,Yjgj2YCRBh4,0:50:01,TRUE
život na 8 bitova,https://www.youtube.com/watch?v=Fbxe6UHt9S0&list=LL&index=827&t=8s&pp=gAQBiAQB,andrej,00:48:33,,Fbxe6UHt9S0,0:48:33,FALSE
Japanese Funk and Soul That Will Brighten Up Your Day,https://www.youtube.com/watch?v=scQuAp2i1to&list=LL&index=615&t=264s&pp=gAQBiAQB,MAJ,00:47:44,,scQuAp2i1to,0:47:44,TRUE
Daliborovo Granje - Hainin (2020),https://www.youtube.com/watch?v=odmYh_68sHg&list=LL&index=403&t=332s&pp=gAQBiAQB,Daliborovo Granje,00:47:29,,odmYh_68sHg,0:47:29,TRUE
Miriam Margolyes on Graham Norton,https://www.youtube.com/watch?v=7aBbbtCBWtw&list=LL&index=616&pp=gAQBiAQB0gcJCSkKAYcqIYzv,Denise F,00:46:53,,7aBbbtCBWtw,0:46:53,FALSE
The Offspring - Smash (Full Album),https://www.youtube.com/watch?v=Q-tVeCMM0fA&list=LL&index=949&pp=gAQBiAQB,HardcoreKilling001,00:46:46,,Q-tVeCMM0fA,0:46:46,TRUE
Lecture 12 - Building for the Enterprise (Aaron Levie),https://www.youtube.com/watch?v=tFVDjrvQJdw&list=LL&index=1139&pp=gAQBiAQB,YC Root Access,00:46:20,,tFVDjrvQJdw,0:46:20,FALSE
"Vodič kroz PR i medije za startupe, IT profesionalce i poduzetnike | #NETOKRACIJAPODCAST",https://www.youtube.com/watch?v=NQkV11alwu0&list=LL&index=513&t=27s&pp=gAQBiAQB,Netokracija,00:46:18,,NQkV11alwu0,0:46:18,FALSE
Why Isn't Functional Programming the Norm? – Richard Feldman,https://www.youtube.com/watch?v=QyJZzq0v7Z4&list=LL&index=1147&pp=gAQBiAQB,Metosin,00:46:09,,QyJZzq0v7Z4,0:46:09,FALSE
pov: you are a teenager in the 1970s playlist,https://www.youtube.com/watch?v=LfVUEloNB0Y&list=LL&index=437&pp=gAQBiAQB,artemis&diana,00:44:06,,LfVUEloNB0Y,0:44:06,TRUE
Bleed - A Cyberpunk Mix,https://www.youtube.com/watch?v=4g7wqFjGf4s&list=LL&index=1479&pp=gAQBiAQB,Odysseus,00:43:53,,4g7wqFjGf4s,0:43:53,TRUE
"Giolì & Assia - #DiesisLive @Milazzo, Sicily [Handpan Set]",https://www.youtube.com/watch?v=nKyfohLjAt8&list=LL&index=1281&pp=gAQBiAQB,Giolì & Assia,00:43:39,,nKyfohLjAt8,0:43:39,TRUE
SaaS Product Management: Features,https://www.youtube.com/watch?v=7B3WBs3jv9g&list=LL&index=525&pp=gAQBiAQB,TestDome Product Talks,00:43:14,,7B3WBs3jv9g,0:43:14,FALSE
Kviskoteka 1,https://www.youtube.com/watch?v=Wa1YPz6QUOc&list=LL&index=1338&pp=gAQBiAQB0gcJCSkKAYcqIYzv,Sholim85,00:43:05,,Wa1YPz6QUOc,0:43:05,FALSE
Sparkling orange! Sailing the Saffier SL46 – a premium new level of quality and ease,https://www.youtube.com/watch?v=wYKOSsd2hcE&list=LL&index=26&t=9s&pp=gAQBiAQB,Yachting World,00:43:00,,wYKOSsd2hcE,0:43:00,FALSE
Live Office Hours with Yuri Sagalov and Sam Altman - Stanford CS183F: Startup School,https://www.youtube.com/watch?v=abtHadERzXU&list=LL&index=1718&pp=gAQBiAQB,Stanford Online,00:42:24,,abtHadERzXU,0:42:24,FALSE
The Soul of Erlang and Elixir • Sasa Juric • GOTO 2019,https://www.youtube.com/watch?v=JvBT4XBdoUE&list=LL&index=1087&t=1084s&pp=gAQBiAQB,GOTO Conferences,00:42:03,,JvBT4XBdoUE,0:42:03,FALSE
Luckiest People Ever Caught on Camera - Best of 2024 !,https://www.youtube.com/watch?v=6IL555Cfvug&list=LL&index=144&t=74s&pp=gAQBiAQB,Interesting Facts,00:42:00,,6IL555Cfvug,0:42:00,FALSE
DANCE WITH THE DEAD - Near Dark [FULL ALBUM],https://www.youtube.com/watch?v=f25R9Gl6FWc&list=LL&index=1387&t=542s&pp=gAQBiAQB,Scaran100,00:41:55,,f25R9Gl6FWc,0:41:55,TRUE
Our Dream - Sovietwave Mix,https://www.youtube.com/watch?v=DMoCM_FgLP8&list=LL&index=1070&t=420s&pp=gAQBiAQB,Alexander Golubeff,00:41:53,,DMoCM_FgLP8,0:41:53,TRUE
I'm Not Done Yet. Brad Upton - Full Special,https://www.youtube.com/watch?v=k8kTK_cqbHg&list=LL&index=359&t=1904s&pp=gAQBiAQB,Dry Bar Comedy,00:40:59,,k8kTK_cqbHg,0:40:59,FALSE
"The Best John Carpenter Movie Theme Songs (Halloween, The Thing, Prince of Darkness...)",https://www.youtube.com/watch?v=OD6cRMcJPZ8&list=LL&index=1068&t=981s&pp=gAQBiAQB,Movie Music Club,00:39:03,,OD6cRMcJPZ8,0:39:03,TRUE
Something Strange Happens When You Follow Einstein's Math,https://www.youtube.com/watch?v=6akmv1bsz1M&list=LL&index=309&t=105s&pp=gAQBiAQB,Veritasium,00:37:03,,6akmv1bsz1M,0:37:03,FALSE
"""Kharkovchanka"" - The Colossal Soviet Antarctic Cruisers",https://www.youtube.com/watch?v=f6R-h06IsJw&list=LL&index=907&pp=gAQBiAQB,Calum,00:36:50,,f6R-h06IsJw,0:36:50,FALSE
Tropea ‎– Short Trip To Space (1977),https://www.youtube.com/watch?v=5ZRQYDoDRkU&list=LL&index=1024&pp=gAQBiAQB,Terminal Passage,00:36:18,,5ZRQYDoDRkU,0:36:18,TRUE
This is what Victorian people sounded like,https://www.youtube.com/watch?v=BrXUcEh0ncE&list=LL&index=176&t=976s&pp=gAQBiAQB,Kings and Things,00:36:00,,BrXUcEh0ncE,0:36:00,FALSE
Street Epistemology: Cherry | Shifting Faith,https://www.youtube.com/watch?v=KvxZTlrTu5c&list=LL&index=1664&pp=gAQBiAQB0gcJCSkKAYcqIYzv,Anthony Magnabosco,00:35:29,,KvxZTlrTu5c,0:35:29,FALSE
The Unreasonable Effectiveness of Multiple Dispatch | Stefan Karpinski | JuliaCon 2019,https://www.youtube.com/watch?v=kc9HwsxE1OY&list=LL&index=717&pp=gAQBiAQB,The Julia Programming Language,00:35:24,,kc9HwsxE1OY,0:35:24,FALSE
The Insane Math Of Knot Theory,https://www.youtube.com/watch?v=8DBhTXM_Br4&list=LL&index=410&pp=gAQBiAQB,Veritasium,00:35:21,,8DBhTXM_Br4,0:35:21,FALSE
Neural Differential Equations,https://www.youtube.com/watch?v=AD3K8j12EIE&list=LL&index=1418&pp=gAQBiAQB,Siraj Raval,00:35:18,,AD3K8j12EIE,0:35:18,FALSE
Incels | ContraPoints,https://www.youtube.com/watch?v=fD2briZ6fB0&list=LL&index=1506&pp=gAQBiAQB0gcJCSkKAYcqIYzv,ContraPoints,00:35:05,,fD2briZ6fB0,0:35:05,FALSE
ICTbusiness TV: Tehnologija donosi promjene,https://www.youtube.com/watch?v=XWsVgYuS38A&list=LL&index=1291&pp=gAQBiAQB,ICT Business,00:34:45,,XWsVgYuS38A,0:34:45,FALSE
Outremer 51 Catamaran Review 2021 | Our Search For The Perfect Catamaran.,https://www.youtube.com/watch?v=XP6cQoq78VY&list=LL&index=29&t=115s&pp=gAQBiAQB,Sailing Ruby Rose,00:33:52,,XP6cQoq78VY,0:33:52,FALSE
Slovenia: How to Get Rich Without Capitalism.,https://www.youtube.com/watch?v=pzG6X7FiOFM&list=LL&index=205&t=57s&pp=gAQBiAQB,History Scope,00:33:28,,pzG6X7FiOFM,0:33:28,FALSE
Darts in Higher Dimensions (with 3blue1brown) - Numberphile,https://www.youtube.com/watch?v=6_yU9eJ0NxA&list=LL&index=806&pp=gAQBiAQB,Numberphile,00:32:11,,6_yU9eJ0NxA,0:32:11,FALSE
Natural Language Processing: State-of-Art: Observations and Insights,https://www.youtube.com/watch?v=_RmrlVRIDEg&list=LL&index=1564&t=12s&pp=gAQBiAQB,Microsoft Research,00:31:15,,_RmrlVRIDEg,0:31:15,FALSE
The War On Drugs - Full Performance (Live on KEXP),https://www.youtube.com/watch?v=IcxWyfGR-2A&list=LL&index=747&pp=gAQBiAQB,KEXP,00:31:11,,IcxWyfGR-2A,0:31:11,TRUE
Svemirko - Tunguzija [album],https://www.youtube.com/watch?v=NY6hBKdCaV4&list=LL&index=905&pp=gAQBiAQB0gcJCSkKAYcqIYzv,više manje zauvijek,00:30:33,,NY6hBKdCaV4,0:30:33,TRUE
26 Key Takeaways from Building 150+ Agents in 9 months,https://www.youtube.com/watch?v=jmeGqDu4tPU&list=LL&index=139&t=446s&pp=gAQBiAQB,Arseny Shatokhin,00:30:08,,jmeGqDu4tPU,0:30:08,FALSE
Željko Švedić | GemBox i TestDome,https://www.youtube.com/watch?v=BtSwGN8GAEo&list=LL&index=647&pp=gAQBiAQB0gcJCSkKAYcqIYzv,Smion,00:30:05,,BtSwGN8GAEo,0:30:05,FALSE
Jim Carrey The Un-Natural Act Stand-Up Comedy Show 1991,https://www.youtube.com/watch?v=KQHsVPD5Ans&list=LL&index=1086&pp=gAQBiAQB,Nikola MBC,00:29:21,,KQHsVPD5Ans,0:29:21,FALSE
The Best Of The Internet (2024),https://www.youtube.com/watch?v=lC9emrW0F2o&list=LL&index=164&t=31s&pp=gAQBiAQB,Daily Dose Of Internet,00:29:08,,lC9emrW0F2o,0:29:08,FALSE
LSTM is dead. Long Live Transformers!,https://www.youtube.com/watch?v=S27pHKBEp30&list=LL&index=543&pp=gAQBiAQB,Seattle Applied Deep Learning,00:28:48,,S27pHKBEp30,0:28:48,FALSE
Terence Tao on the cosmic distance ladder,https://www.youtube.com/watch?v=YdOXS_9_P4U&list=LL&index=154&pp=gAQBiAQB,3Blue1Brown,00:28:33,,YdOXS_9_P4U,0:28:33,FALSE
Jordan Peterson | ContraPoints,https://www.youtube.com/watch?v=4LqZdkkBDas&list=LL&index=1505&pp=gAQBiAQB,ContraPoints,00:28:20,,4LqZdkkBDas,0:28:20,FALSE
How Hidden Technology Transformed Bowling,https://www.youtube.com/watch?v=aFPJf-wKTd0&list=LL&index=680&pp=gAQBiAQB0gcJCSkKAYcqIYzv,Veritasium,00:28:01,,aFPJf-wKTd0,0:28:01,FALSE
I tested the Craziest Xiaomi Gadgets!,https://www.youtube.com/watch?v=neIYdLysqlk&list=LL&index=179&t=887s&pp=gAQBiAQB,Mrwhosetheboss,00:27:53,,neIYdLysqlk,0:27:53,FALSE
"Murderer, One Punch Killer, Sniper & Gangster On How It Feels To Kill | Minutes With",https://www.youtube.com/watch?v=i--mhQWTwMs&list=LL&index=592&pp=gAQBiAQB,LADbible Stories,00:27:47,,i--mhQWTwMs,0:27:47,FALSE
These Have Been Found All Across Ancient Rome (Nobody Knows Why),https://www.youtube.com/watch?v=smYbNisW5yI&list=LL&index=107&t=30s&pp=gAQBiAQB,Joe Scott,00:27:44,,smYbNisW5yI,0:27:44,FALSE
