Id,Product,Brand,Price,Country,Category
P00091,Mini Laptop Sleeve XL,Silverbirch,198.60,Spain,electronics
P00092,Heavy-Duty Noise-Canceling Headphones Max,Lumen&Co,276.79,USA,electronics
P00093,Slim USB-C Hub,Tundra Works,150.17,Netherlands,electronics
P00094,Classic Linen Shirt,CedarCraft,188.39,Poland,clothing
P00095,Ultra Denim Jacket 2.0,Verve Athletics,116.98,Netherlands,clothing
P00096,Travel Puffer Vest S,Helios,289.83,Netherlands,clothing
P00097,Heavy-Duty USB-C Hub,BasecampGear,100.36,France,electronics
P00098,Eco Notebook Set 2.0,Aurora Labs,225.12,Japan,other
P00099,Vintage Backpack XL,PeakForm,174.63,USA,other
P00100,Pro Rice Cooker Max,Quartz Home,158.93,Netherlands,kitchen
P00101,Mini Espresso Machine,Orbit Supply,252.15,Canada,kitchen
P00102,Ultra Baseball Cap Lite,Lumen&Co,234.75,Netherlands,clothing
P00103,Compact USB-C Hub Max,CedarCraft,330.32,Italy,electronics
P00104,Premium Office Chair 2.0,Aurora Labs,25.66,Sweden,other
P00105,Travel Noise-Canceling Headphones XL,Falkon,366.45,Germany,electronics
P00106,Mini Baseball Cap S,CedarCraft,365.45,Australia,clothing
P00107,Compact Wool Scarf Set of 2,Lumen&Co,223.23,Canada,clothing
P00108,Vintage Tennis Racket S,Grainhouse,72.63,Poland,sports
P00109,Eco Toaster Oven Set of 2,CedarCraft,227.04,USA,kitchen
P00110,Wireless Noise-Canceling Headphones,Windmill Kitchen,129.58,USA,electronics
P00111,Compact Fitness Tracker,PeakForm,188.38,Spain,electronics
P00112,Deluxe Chef Knife 2.0,Windmill Kitchen,48.88,France,kitchen
P00113,Smart USB-C Hub Lite,Orbit Supply,20.18,France,electronics
P00114,Travel Soccer Ball,Orbit Supply,385.49,Canada,sports
P00115,Slim Trail-Running Socks,PeakForm,2.76,Germany,sports
P00116,Vintage Running Shoes XL,Windmill Kitchen,316.50,USA,sports
P00117,Premium Coffee Grinder 2.0,Quartz Home,40.74,Canada,kitchen
P00118,Ultra Office Chair 2.0,PeakForm,57.43,France,other
P00119,Ultra Monitor Stand XL,Quartz Home,150.08,Netherlands,electronics
P00120,Folding Bluetooth Speaker Lite,Helios,29.39,Netherlands,electronics
P00121,Classic Immersion Blender Set of 2,Tundra Works,124.12,Canada,kitchen
P00122,Premium Cutting Board S,Northwind,361.66,Canada,kitchen
P00123,Mini USB-C Hub,Orbit Supply,18.30,Australia,electronics
P00124,Smart Toaster Oven,Helios,25.26,Germany,kitchen
P00125,Pro Yoga Mat,CedarCraft,399.86,Sweden,sports
P00126,Compact Soccer Ball,Helios,179.83,USA,sports
P00127,Compact Yoga Mat Max,Verve Athletics,211.79,Italy,sports
P00128,Portable Cast-Iron Skillet 2.0,Lumen&Co,56.76,USA,kitchen
P00129,Travel Chef Knife 2.0,CedarCraft,174.84,UK,kitchen
P00130,Slim Mechanical Keyboard S,CedarCraft,135.41,Italy,electronics
P00131,Vintage Kettlebell,Lumen&Co,200.19,Japan,sports
P00132,Portable Blender S,PeakForm,336.84,Poland,kitchen
P00133,Folding Hiking Boots 2.0,Quartz Home,133.31,USA,sports
P00134,Pro Tennis Racket XL,Tundra Works,211.42,Canada,sports
P00135,Heavy-Duty Espresso Machine XL,Verve Athletics,81.96,Spain,kitchen
P00136,Compact Webcam XL,BasecampGear,216.27,Netherlands,electronics
P00137,Compact Chef Knife,Windmill Kitchen,272.47,Spain,kitchen
P00138,Wireless Air Fryer,Orbit Supply,86.30,Spain,kitchen
P00139,Deluxe Fitness Tracker XL,Aurora Labs,78.62,Netherlands,electronics
P00140,Eco Soccer Ball Set of 2,Windmill Kitchen,377.38,Netherlands,sports
P00141,Slim Linen Shirt Max,Lumen&Co,356.84,Poland,clothing
P00142,Smart Laptop Sleeve 2.0,Windmill Kitchen,192.96,Australia,electronics
P00143,Mini Noise-Canceling Headphones Lite,Helios,153.65,Japan,electronics
P00144,Vintage Rain Jacket S,Helios,164.97,Poland,clothing
P00145,Mini Running Shoes 2.0,Northwind,98.27,Netherlands,sports
P00146,Heavy-Duty Gaming Mouse 2.0,Falkon,309.05,Netherlands,electronics
P00147,Heavy-Duty Linen Shirt Set of 2,Windmill Kitchen,155.14,Japan,clothing
P00148,Portable Wool Scarf,Silverbirch,29.37,Germany,clothing
P00149,Smart Soccer Ball,Lumen&Co,258.62,UK,sports
P00150,Portable Soccer Ball 2.0,Tundra Works,67.40,France,sports
P00151,Vintage Rice Cooker Plus,CedarCraft,83.07,USA,kitchen
P00152,Smart Rain Jacket 2.0,Helios,303.75,Canada,clothing
P00153,Pro Coffee Grinder Set of 2,Lumen&Co,286.20,Japan,kitchen
P00154,Deluxe Fleece Hoodie XL,Silverbirch,189.63,Spain,clothing
P00155,Mini Cast-Iron Skillet 2.0,Aurora Labs,82.29,Japan,kitchen
P00156,Wireless USB-C Hub XL,Orbit Supply,305.62,USA,electronics
P00157,Compact Desk Lamp Set of 2,Tundra Works,66.78,USA,electronics
P00158,Ultra Desk Lamp,Falkon,53.98,UK,electronics
P00159,Folding USB-C Hub Plus,Orbit Supply,161.20,Australia,electronics
P00160,Compact Monitor Stand Plus,Tundra Works,156.42,Sweden,electronics
P00161,Pro Stand Mixer Plus,Verve Athletics,203.45,Sweden,kitchen
P00162,Vintage Bluetooth Speaker S,Silverbirch,375.29,Italy,electronics
P00163,Ultra Linen Shirt,Kestrel,35.11,UK,clothing
P00164,Deluxe Laptop Sleeve 2.0,Quartz Home,132.42,France,electronics
P00165,Slim Monitor Stand Set of 2,BasecampGear,26.99,Italy,electronics
P00166,Slim Rain Jacket,Lumen&Co,224.22,Japan,clothing
P00167,Folding Running Shoes Set of 2,Quartz Home,291.29,Sweden,sports
P00168,Folding Toaster Oven 2.0,Windmill Kitchen,339.73,Italy,kitchen
P00169,Smart Trail-Running Socks,Orbit Supply,120.05,Germany,sports
P00170,Vintage Notebook Set Set of 2,Falkon,355.61,France,other
P00171,Heavy-Duty Yoga Mat Plus,Lumen&Co,87.71,Sweden,sports
P00172,Heavy-Duty Resistance Bands,Aurora Labs,314.52,Spain,sports
P00173,Portable Office Chair Set of 2,Grainhouse,178.00,Germany,other
P00174,Eco Hiking Boots,Silverbirch,78.06,Italy,sports
P00175,Pro Rice Cooker XL,CedarCraft,163.47,Japan,kitchen
P00176,Heavy-Duty Espresso Machine Lite,Verve Athletics,144.46,USA,kitchen
P00177,Ultra Mechanical Keyboard,CedarCraft,186.40,Japan,electronics
P00178,Heavy-Duty Blender,Helios,33.64,UK,kitchen
P00179,Mini Tennis Racket Plus,Lumen&Co,387.88,UK,sports
P00180,Ultra Backpack,Falkon,318.25,Spain,other
P00181,Wireless Stand Mixer Max,Windmill Kitchen,127.25,Canada,kitchen
P00182,Classic Rain Jacket,Orbit Supply,114.88,Sweden,clothing
P00183,Ultra Baseball Cap 2.0,Tundra Works,227.29,Sweden,clothing
P00184,Portable Laptop Sleeve 2.0,Orbit Supply,303.49,France,electronics
P00185,Ultra Soccer Ball,Helios,208.84,USA,sports
P00186,Heavy-Duty Linen Shirt XL,Kestrel,99.86,Canada,clothing
P00187,Eco Espresso Machine Plus,Grainhouse,134.58,Japan,kitchen
P00188,Wireless Wool Scarf Max,CedarCraft,241.55,Canada,clothing
P00189,Folding Noise-Canceling Headphones S,Silverbirch,23.37,Canada,electronics
P00190,Mini Espresso Machine,Grainhouse,212.56,Sweden,kitchen
P00191,Vintage Desk Lamp Set of 2,Lumen&Co,270.29,UK,electronics
P00192,Folding Blender,Kestrel,173.84,Japan,kitchen
P00193,Deluxe Desk Lamp Set of 2,Verve Athletics,223.20,Sweden,electronics
P00194,Folding Backpack Plus,Aurora Labs,12.32,Canada,other
P00195,Compact Noise-Canceling Headphones,CedarCraft,146.55,Australia,electronics
P00196,Slim Coffee Grinder Max,BasecampGear,390.05,Canada,kitchen
P00197,Heavy-Duty USB-C Hub Lite,Helios,331.80,Netherlands,electronics
P00198,Heavy-Duty Toaster Oven,Windmill Kitchen,400.57,Australia,kitchen
P00199,Travel Soccer Ball Plus,Northwind,390.57,Sweden,sports
P00200,Pro Hiking Boots Lite,PeakForm,105.75,Sweden,sports
P00201,Ultra Kettlebell 2.0,Helios,270.40,Poland,sports
P00202,Travel Fitness Tracker,Helios,365.67,Italy,electronics
P00203,Portable Mechanical Keyboard Set of 2,BasecampGear,243.88,Netherlands,electronics
P00204,Heavy-Duty Laptop Sleeve,Kestrel,55.10,Sweden,electronics
P00205,Wireless Puffer Vest,PeakForm,14.32,Japan,clothing
P00206,Ultra Denim Jacket 2.0,Grainhouse,37.00,Sweden,clothing
P00207,Heavy-Duty Immersion Blender,Silverbirch,373.31,UK,kitchen
P00208,Compact Tennis Racket Plus,Quartz Home,220.75,Canada,sports
P00209,Travel Fleece Hoodie Set of 2,Helios,171.97,France,clothing
P00210,Eco Coffee Grinder XL,Grainhouse,73.21,Italy,kitchen
P00211,Eco Toaster Oven Plus,Verve Athletics,220.52,Japan,kitchen
P00212,Classic Resistance Bands Set of 2,Lumen&Co,281.90,Sweden,sports
P00213,Heavy-Duty Yoga Mat,Tundra Works,294.59,Spain,sports
P00214,Classic Chef Knife Max,Orbit Supply,177.64,USA,kitchen
P00215,Ultra Yoga Mat Max,Tundra Works,264.39,Australia,sports
P00216,Eco Bluetooth Speaker XL,Grainhouse,386.67,Australia,electronics
P00217,Vintage Noise-Canceling Headphones,Silverbirch,103.63,Spain,electronics
P00218,Smart Stand Mixer Set of 2,PeakForm,331.99,Poland,kitchen
P00219,Smart Stand Mixer XL,Quartz Home,18.91,Poland,kitchen
P00220,Vintage Kettlebell Lite,Grainhouse,253.49,Spain,sports
P00221,Travel Yoga Mat Plus,CedarCraft,44.80,Poland,sports
P00222,Portable Immersion Blender Set of 2,Kestrel,359.06,Sweden,kitchen
P00223,Smart Monitor Stand,Falkon,145.93,Netherlands,electronics
P00224,Premium Baseball Cap XL,Helios,192.78,Australia,clothing
P00225,Mini Desk Lamp,Grainhouse,370.87,Canada,electronics
P00226,Folding Denim Jacket XL,Falkon,208.84,Italy,clothing
P00227,Deluxe Fitness Tracker,Orbit Supply,303.48,UK,electronics
P00228,Deluxe Mechanical Keyboard,Verve Athletics,58.84,Japan,electronics
P00229,Mini Resistance Bands Lite,CedarCraft,349.11,UK,sports
P00230,Folding Notebook Set Set of 2,Helios,169.63,Spain,other
P00231,Heavy-Duty Cast-Iron Skillet,Orbit Supply,310.83,Germany,kitchen
P00232,Smart Stand Mixer,Lumen&Co,121.81,Germany,kitchen
P00233,Travel Webcam Set of 2,Quartz Home,386.47,UK,electronics
P00234,Compact Air Fryer XL,Helios,206.46,Canada,kitchen
P00235,Slim Backpack Lite,Lumen&Co,241.25,Sweden,other
P00236,Heavy-Duty Cutting Board,Northwind,268.93,USA,kitchen
P00237,Ultra Cutting Board Plus,Tundra Works,289.33,Japan,kitchen
P00238,Folding Cast-Iron Skillet 2.0,Helios,22.62,Germany,kitchen
P00239,Premium Backpack,Verve Athletics,240.38,Australia,other
P00240,Vintage Chef Knife Max,CedarCraft,327.98,Canada,kitchen
P00241,Deluxe Linen Shirt Max,CedarCraft,42.11,Netherlands,clothing
P00242,Slim Espresso Machine,Lumen&Co,243.45,Netherlands,kitchen
P00243,Premium Tennis Racket Plus,Lumen&Co,70.40,Italy,sports
P00244,Portable Toaster Oven,Windmill Kitchen,315.80,Sweden,kitchen
P00245,Vintage Espresso Machine,BasecampGear,311.40,Japan,kitchen
P00246,Deluxe Bluetooth Speaker XL,Aurora Labs,333.24,Canada,electronics
P00247,Heavy-Duty Blender,Orbit Supply,374.77,Canada,kitchen
P00248,Travel Fitness Tracker Lite,Tundra Works,213.15,Japan,electronics
P00249,Heavy-Duty Desk Lamp 2.0,Northwind,281.90,Poland,electronics
P00250,Classic Noise-Canceling Headphones 2.0,Aurora Labs,28.39,UK,electronics
P00251,Eco Blender 2.0,Windmill Kitchen,77.79,Netherlands,kitchen
P00252,Deluxe Cutting Board,Helios,63.60,Italy,kitchen
P00253,Folding Puffer Vest,Helios,5.98,Australia,clothing
P00254,Travel Laptop Sleeve 2.0,Quartz Home,296.71,USA,electronics
P00255,Travel Mechanical Keyboard S,Quartz Home,292.69,Canada,electronics
P00256,Vintage Bluetooth Speaker S,CedarCraft,396.78,Sweden,electronics
P00257,Heavy-Duty Resistance Bands,BasecampGear,84.96,USA,sports
P00258,Vintage Yoga Mat 2.0,BasecampGear,231.92,Germany,sports
P00259,Vintage Rain Jacket 2.0,Aurora Labs,374.56,France,clothing
P00260,Deluxe Rice Cooker Max,Quartz Home,182.66,Poland,kitchen
P00261,Compact Office Chair,Northwind,278.03,Netherlands,other
P00262,Heavy-Duty Noise-Canceling Headphones XL,Orbit Supply,257.33,Australia,electronics
P00263,Portable Yoga Mat,Lumen&Co,82.87,Spain,sports
P00264,Smart Gaming Mouse 2.0,Windmill Kitchen,297.10,Japan,electronics
P00265,Compact Mechanical Keyboard Set of 2,Lumen&Co,230.96,Canada,electronics
P00266,Ultra Notebook Set,Tundra Works,67.76,Italy,other
P00267,Folding Office Chair,Helios,272.70,Japan,other
P00268,Wireless Cutting Board Max,Windmill Kitchen,129.57,Spain,kitchen
P00269,Wireless Cutting Board,Lumen&Co,329.35,Japan,kitchen
P00270,Mini Monitor Stand,CedarCraft,87.54,Poland,electronics
P00271,Folding Cast-Iron Skillet,Orbit Supply,119.67,Italy,kitchen
P00272,Ultra Office Chair,Tundra Works,101.06,France,other
P00273,Wireless Monitor Stand XL,Verve Athletics,282.71,Italy,electronics
P00274,Slim Denim Jacket Plus,Quartz Home,60.81,Netherlands,clothing
P00275,Deluxe Desk Lamp,Kestrel,55.56,France,electronics
P00276,Slim Noise-Canceling Headphones,Grainhouse,117.20,Canada,electronics
P00277,Deluxe Backpack XL,PeakForm,227.15,Germany,other
P00278,Mini Toaster Oven Max,Aurora Labs,359.95,Canada,kitchen
P00279,Compact Chef Knife Plus,Quartz Home,40.60,Japan,kitchen
P00280,Folding Desk Lamp,Windmill Kitchen,340.50,Germany,electronics
P00281,Travel Rain Jacket Set of 2,Helios,356.72,France,clothing
P00282,Eco Monitor Stand Lite,Kestrel,27.20,Germany,electronics
P00283,Deluxe Bluetooth Speaker Plus,Windmill Kitchen,354.46,Sweden,electronics
P00284,Mini Bluetooth Speaker,BasecampGear,291.83,Japan,electronics
P00285,Travel Desk Lamp Max,BasecampGear,280.60,Australia,electronics
P00286,Heavy-Duty Kettlebell S,Lumen&Co,327.48,Italy,sports
P00287,Heavy-Duty Coffee Grinder XL,Grainhouse,117.93,Spain,kitchen
P00288,Premium Cast-Iron Skillet,Orbit Supply,271.11,USA,kitchen
P00289,Eco Toaster Oven,Verve Athletics,100.74,Australia,kitchen
P00290,Classic Office Chair Set of 2,Kestrel,246.36,Germany,other
P00291,Heavy-Duty Running Shoes,Windmill Kitchen,328.25,Canada,sports
P00292,Folding Gaming Mouse 2.0,Grainhouse,309.14,UK,electronics
P00293,Compact Linen Shirt Plus,Quartz Home,18.42,Italy,clothing
P00294,Pro Puffer Vest,Grainhouse,292.32,USA,clothing
P00295,Classic Laptop Sleeve,Silverbirch,236.21,Spain,electronics
P00296,Travel Wool Scarf,Verve Athletics,241.59,UK,clothing
P00297,Slim Tennis Racket 2.0,Orbit Supply,65.32,Canada,sports
P00298,Compact Hiking Boots Lite,Verve Athletics,239.06,Germany,sports
P00299,Classic Tennis Racket,Quartz Home,231.85,Poland,sports
P00300,Classic Baseball Cap 2.0,Northwind,107.31,UK,clothing
P00301,Mini Toaster Oven Lite,Grainhouse,358.42,Poland,kitchen
P00302,Portable Chef Knife,Grainhouse,384.09,Netherlands,kitchen
P00303,Classic Gaming Mouse 2.0,Grainhouse,66.88,Italy,electronics
P00304,Eco Resistance Bands Lite,Northwind,72.65,Spain,sports
P00305,Travel Fitness Tracker,CedarCraft,282.43,Canada,electronics
P00306,Heavy-Duty Baseball Cap Lite,Windmill Kitchen,338.49,Japan,clothing
P00307,Mini Air Fryer 2.0,Lumen&Co,393.82,Spain,kitchen
P00308,Portable Fleece Hoodie Max,Helios,281.09,Australia,clothing
P00309,Travel Notebook Set Plus,Aurora Labs,191.07,Australia,other
P00310,Wireless Stand Mixer 2.0,Falkon,135.83,France,kitchen
P00311,Wireless Baseball Cap XL,Aurora Labs,40.77,Canada,clothing
P00312,Compact Chef Knife Max,Northwind,229.06,Netherlands,kitchen
P00313,Folding Rice Cooker,Kestrel,40.93,France,kitchen
P00314,Pro Monitor Stand Max,Verve Athletics,69.31,Germany,electronics
P00315,Folding USB-C Hub S,Tundra Works,193.93,Sweden,electronics
P00316,Premium Hiking Boots Set of 2,Kestrel,61.85,Germany,sports
P00317,Premium Linen Shirt Lite,Falkon,145.06,France,clothing
P00318,Premium Puffer Vest Max,Grainhouse,55.09,France,clothing
P00319,Wireless Running Shoes S,Falkon,325.73,USA,sports
P00320,Ultra Cutting Board Lite,PeakForm,198.80,France,kitchen
P00321,Pro Backpack,Helios,56.23,Spain,other
P00322,Compact Yoga Mat Set of 2,Helios,117.76,Italy,sports
P00323,Smart USB-C Hub,Aurora Labs,232.73,UK,electronics
P00324,Pro Resistance Bands Max,Orbit Supply,85.63,Poland,sports
P00325,Compact Kettlebell XL,CedarCraft,367.88,Poland,sports
P00326,Mini Webcam,Verve Athletics,3.03,Poland,electronics
P00327,Compact Fitness Tracker,PeakForm,203.14,Australia,electronics
P00328,Portable Fleece Hoodie Plus,Kestrel,64.00,France,clothing
P00329,Pro Laptop Sleeve XL,Lumen&Co,250.77,Germany,electronics
P00330,Eco Webcam Plus,Orbit Supply,311.63,France,electronics
P00331,Pro Desk Lamp 2.0,Windmill Kitchen,112.08,Japan,electronics
P00332,Premium Puffer Vest 2.0,Falkon,373.22,Netherlands,clothing
P00333,Slim Laptop Sleeve,Helios,301.33,Poland,electronics
P00334,Vintage Trail-Running Socks Plus,Grainhouse,366.39,Italy,sports
P00335,Mini Notebook Set Set of 2,Lumen&Co,237.49,Japan,other
P00336,Slim Chef Knife Set of 2,Lumen&Co,77.12,France,kitchen
P00337,Deluxe Webcam,Silverbirch,327.64,Sweden,electronics
P00338,Deluxe Cast-Iron Skillet S,Kestrel,393.43,UK,kitchen
P00339,Pro Air Fryer 2.0,Helios,205.75,France,kitchen
P00340,Classic Tennis Racket Set of 2,Grainhouse,305.22,Italy,sports
P00341,Smart Soccer Ball,Quartz Home,53.16,UK,sports
P00342,Mini Rain Jacket XL,Helios,37.65,Spain,clothing
P00343,Folding Air Fryer Lite,Quartz Home,56.96,USA,kitchen
P00344,Ultra Office Chair,Quartz Home,236.93,Spain,other
P00345,Wireless Monitor Stand XL,CedarCraft,344.11,Italy,electronics
P00346,Smart Soccer Ball Set of 2,Quartz Home,394.35,Sweden,sports
P00347,Slim Soccer Ball,BasecampGear,237.95,UK,sports
P00348,Slim Mechanical Keyboard,Orbit Supply,193.10,Japan,electronics
P00349,Compact Kettlebell Lite,Aurora Labs,172.56,Japan,sports
P00350,Travel Puffer Vest Lite,Aurora Labs,380.04,Australia,clothing
P00351,Folding Puffer Vest Max,Grainhouse,123.95,Germany,clothing
P00352,Premium Soccer Ball,Northwind,263.60,USA,sports
P00353,Eco Baseball Cap Set of 2,Kestrel,88.20,Netherlands,clothing
P00354,Slim USB-C Hub,Grainhouse,210.42,France,electronics
P00355,Slim Tennis Racket S,Grainhouse,255.94,Japan,sports
P00356,Eco Dumbbell Set,Windmill Kitchen,57.26,Italy,sports
P00357,Eco Tennis Racket Plus,Orbit Supply,228.77,France,sports
P00358,Heavy-Duty Resistance Bands,Northwind,15.60,France,sports
P00359,Wireless Denim Jacket Lite,Grainhouse,313.68,Sweden,clothing
P00360,Portable Toaster Oven Set of 2,PeakForm,371.79,Sweden,kitchen
P00361,Eco Monitor Stand,Northwind,51.25,Japan,electronics
P00362,Vintage Webcam,Kestrel,375.48,Japan,electronics
P00363,Folding Rice Cooker XL,Orbit Supply,6.51,Spain,kitchen
P00364,Slim Backpack XL,Lumen&Co,400.09,Spain,other
P00365,Eco Tennis Racket,Windmill Kitchen,182.64,Germany,sports
P00366,Eco Toaster Oven Lite,Grainhouse,386.28,Netherlands,kitchen
P00367,Eco Wool Scarf,Verve Athletics,88.72,Spain,clothing
P00368,Ultra Yoga Mat,Verve Athletics,48.64,USA,sports
P00369,Classic Notebook Set XL,Tundra Works,6.49,Poland,other
P00370,Ultra Rice Cooker XL,PeakForm,41.32,Spain,kitchen
P00371,Portable Noise-Canceling Headphones Set of 2,Falkon,307.65,Japan,electronics
P00372,Pro Trail-Running Socks,Lumen&Co,186.07,France,sports
P00373,Deluxe Kettlebell XL,PeakForm,162.14,Australia,sports
P00374,Mini Mechanical Keyboard,Kestrel,142.96,Canada,electronics
P00375,Heavy-Duty Immersion Blender Max,CedarCraft,269.56,USA,kitchen
P00376,Heavy-Duty Kettlebell,Windmill Kitchen,23.93,Japan,sports
P00377,Mini Rice Cooker XL,Falkon,380.57,Netherlands,kitchen
P00378,Eco Mechanical Keyboard,Kestrel,144.70,France,electronics
P00379,Mini Fleece Hoodie,Helios,31.02,Italy,clothing
P00380,Eco Desk Lamp Plus,Aurora Labs,8.74,Australia,electronics
